,29578467_64008466.xml,29612308_64007669.xml,29597395_64017732.xml,29598306_64011889.xml,29603558_64011542.xml,29610206_64022314.xml,29608101_64010953.xml,29566593_64011652.xml,29613618_64005019.xml,29564628_64006746.xml,29585780_64016111.xml,29608250_64004178.xml,29618299_64010720.xml,29617673_64007576.xml,29571064_64002952.xml,29619220_64010153.xml,29563414_64001865.xml,29618150_64010617.xml,29591970_64020446.xml,29597445_64002703.xml,29618334_64007240.xml,29614498_63999164.xml,29618124_64010499.xml,29618760_64016501.xml,29619993_64015166.xml,29617313_64007021.xml,29617829_64001996.xml,29607870_64009369.xml,29610305_64005202.xml,29597072_64005453.xml
29578467_64008466.xml,0,288,213,717,250,261,183,211,266,226,197,184,234,154,214,218,206,226,226,226,203,209,189,306,242,195,187,211,244,732
29612308_64007669.xml,288,0,287,704,290,284,293,291,290,298,261,237,274,282,243,299,288,316,277,273,226,275,305,332,315,290,304,292,314,709
29597395_64017732.xml,213,287,0,771,290,258,174,188,262,190,183,189,243,223,198,200,189,213,186,225,187,187,190,314,235,194,186,215,244,775
29598306_64011889.xml,717,704,771,0,704,708,785,788,721,779,763,761,734,729,750,756,770,769,741,735,758,797,741,700,754,786,782,755,749,627
29603558_64011542.xml,250,290,290,704,0,294,284,283,282,276,257,243,284,251,213,284,258,300,286,276,245,288,293,293,310,281,296,284,298,703
29610206_64022314.xml,261,284,258,708,294,0,257,286,215,277,204,215,223,228,226,280,242,288,260,228,229,268,244,333,262,265,278,263,296,702
29608101_64010953.xml,183,293,174,785,284,257,0,179,265,134,199,143,230,185,202,209,175,194,206,224,179,115,220,341,238,127,118,118,220,799
29566593_64011652.xml,211,291,188,788,283,286,179,0,233,176,192,164,253,210,216,194,191,202,229,233,191,162,252,338,244,175,182,215,247,787
29613618_64005019.xml,266,290,262,721,282,215,265,233,0,238,178,225,279,240,241,270,246,277,273,202,193,257,262,327,262,264,279,282,288,735
29564628_64006746.xml,226,298,190,779,276,277,134,176,238,0,192,174,246,217,184,205,186,210,221,233,211,134,239,345,259,124,153,182,214,789
29585780_64016111.xml,197,261,183,763,257,204,199,192,178,192,0,125,240,199,202,210,181,227,208,146,116,198,188,324,234,191,209,212,253,743
29608250_64004178.xml,184,237,189,761,243,215,143,164,225,174,125,0,225,167,141,217,187,209,192,186,123,150,191,316,236,140,174,185,247,756
29618299_64010720.xml,234,274,243,734,284,223,230,253,279,246,240,225,0,217,234,256,235,267,247,265,230,232,253,317,283,221,224,236,270,741
29617673_64007576.xml,154,282,223,729,251,228,185,210,240,217,199,167,217,0,198,238,226,230,240,217,199,199,227,296,264,187,213,216,242,727
29571064_64002952.xml,214,243,198,750,213,226,202,216,241,184,202,141,234,198,0,244,215,239,199,236,172,200,210,292,260,180,211,216,244,748
29619220_64010153.xml,218,299,200,756,284,280,209,194,270,205,210,217,256,238,244,0,183,213,212,231,216,198,235,326,238,207,203,195,247,759
29563414_64001865.xml,206,288,189,770,258,242,175,191,246,186,181,187,235,226,215,183,0,196,211,208,184,188,189,330,219,206,197,209,237,773
29618150_64010617.xml,226,316,213,769,300,288,194,202,277,210,227,209,267,230,239,213,196,0,235,255,227,201,253,350,246,192,202,235,244,773
29591970_64020446.xml,226,277,186,741,286,260,206,229,273,221,208,192,247,240,199,212,211,235,0,228,193,205,202,323,225,217,203,214,249,750
29597445_64002703.xml,226,273,225,735,276,228,224,233,202,233,146,186,265,217,236,231,208,255,228,0,162,232,233,330,217,233,225,246,262,738
29618334_64007240.xml,203,226,187,758,245,229,179,191,193,211,116,123,230,199,172,216,184,227,193,162,0,167,177,319,223,184,200,204,250,762
29614498_63999164.xml,209,275,187,797,288,268,115,162,257,134,198,150,232,199,200,198,188,201,205,232,167,0,229,340,234,80,140,164,228,800
29618124_64010499.xml,189,305,190,741,293,244,220,252,262,239,188,191,253,227,210,235,189,253,202,233,177,229,0,334,231,220,214,222,272,748
29618760_64016501.xml,306,332,314,700,293,333,341,338,327,345,324,316,317,296,292,326,330,350,323,330,319,340,334,0,343,336,341,317,338,701
29619993_64015166.xml,242,315,235,754,310,262,238,244,262,259,234,236,283,264,260,238,219,246,225,217,223,234,231,343,0,246,243,252,289,767
29617313_64007021.xml,195,290,194,786,281,265,127,175,264,124,191,140,221,187,180,207,206,192,217,233,184,80,220,336,246,0,120,176,202,789
29617829_64001996.xml,187,304,186,782,296,278,118,182,279,153,209,174,224,213,211,203,197,202,203,225,200,140,214,341,243,120,0,152,231,789
29607870_64009369.xml,211,292,215,755,284,263,118,215,282,182,212,185,236,216,216,195,209,235,214,246,204,164,222,317,252,176,152,0,232,763
29610305_64005202.xml,244,314,244,749,298,296,220,247,288,214,253,247,270,242,244,247,237,244,249,262,250,228,272,338,289,202,231,232,0,761
29597072_64005453.xml,732,709,775,627,703,702,799,787,735,789,743,756,741,727,748,759,773,773,750,738,762,800,748,701,767,789,789,763,761,0
